P (GPa),T (kK)
5.067,0.288
5.229,0.303
5.387,0.311
5.55,0.316
5.713,0.322
5.902,0.323
6.101,0.323
6.307,0.347
6.483,0.347
6.712,0.355
6.916,0.361
7.125,0.368
7.341,0.376
7.564,0.384
7.793,0.385
8.029,0.39
8.273,0.395
8.545,0.395
8.884,0.395
9.184,0.416
9.546,0.439
9.868,0.439
10.185,0.458
10.505,0.484
10.824,0.503
11.152,0.518
11.49,0.538
11.838,0.558
12.197,0.572
12.567,0.593
12.947,0.612
13.34,0.628
13.744,0.647
14.161,0.667
14.59,0.685
15.033,0.7
15.488,0.72
15.958,0.74
16.441,0.752
16.94,0.771
17.453,0.789
17.982,0.806
18.527,0.819
19.089,0.838
19.668,0.856
20.264,0.87
20.878,0.888
21.511,0.904
22.163,0.923
22.835,0.934
23.527,0.954
24.24,0.975
24.975,0.995
25.732,1.019
26.512,1.044
27.316,1.065
28.144,1.09
28.997,1.113
29.876,1.136
30.782,1.161
31.715,1.182
32.676,1.209
33.667,1.24
34.679,1.273
35.739,1.31
36.822,1.347
37.938,1.381
39.088,1.417
40.273,1.453
41.494,1.487
42.752,1.522
44.048,1.557
45.383,1.592
46.742,1.622
48.127,1.675
49.681,1.75
51.072,1.797
52.647,1.851
54.301,1.924
55.934,1.975
57.619,2.028
59.457,2.088
61.2,2.148
63.068,2.21
64.989,2.271
66.868,2.33
68.939,2.399
71.105,2.475
73.181,2.571
75.351,2.68
77.363,2.812
78.945,2.958
80.304,3.081
82.02,3.202
83.914,3.33
85.065,3.47
86.217,3.606
87.22,3.732
87.628,3.869
88.832,4.022
89.553,4.158
91.05,4.297
91.555,4.459
93.086,9.89
93.602,9.89
94.642,9.89
95.911,9.89
96.874,9.89
97.64,9.89
98.091,9.89
98.448,9.89
99.164,9.89
99.745,9.89
100.479,9.89
101.226,9.89
102.133,9.89
103.028,9.89
103.794,9.89
104.649,9.89
105.505,9.89
106.361,9.89
107.165,9.89
107.975,9.89
108.913,9.89
109.942,9.89
110.864,9.89
111.892,9.89
112.94,9.89
114.163,9.89
115.013,9.89
116.1,9.89
117.491,9.89
118.007,9.89
118.757,9.89
120.271,9.89
122.272,9.89
124.637,9.89
127.462,9.956
130.609,10.057
134.797,10.126
137.944,10.142
144.055,10.165
149.738,21.2
156.509,21.2
162.683,21.2
168.865,21.2
173.984,21.2
179.258,21.2
184.691,21.2
190.29,21.2
196.058,21.2
202.001,21.2
208.125,21.2
214.434,21.2
220.934,21.2
227.631,21.2
234.531,21.2
241.64,21.2
248.965,21.2
